HU,story_points,business_value_points,sprint,sprint_start_date,sprint_end_date
HU01,5,12,Sprint 3,2025-11-03,2025-11-23
HU02,5,8,Sprint 1,2025-10-06,2025-10-19
HU03,5,7,Sprint 1,2025-10-06,2025-10-19
HU04,3,5,Sprint 3,2025-11-03,2025-11-23
HU05,3,10,Sprint 1,2025-10-06,2025-10-19
HU06,3,5,Sprint 2,2025-10-20,2025-11-02
HU07,3,4,Sprint 2,2025-10-20,2025-11-02
HU08,5,8,Sprint 2,2025-10-20,2025-11-02
HU09,5,11,Sprint 2,2025-10-20,2025-11-02
HU10,5,6,Sprint 2,2025-10-20,2025-11-02
HU011,5,6,Sprint 1,2025-10-06,2025-10-19
HU012,5,8,Sprint 3,2025-11-03,2025-11-23
HU013,3,5,Sprint 3,2025-11-03,2025-11-23
HU014,3,5,Sprint 3,2025-11-03,2025-11-23
